Word 1,Word 2
به‌طور مستقیم (be-tor-e mostaqīm),Directly
آسانسور (āsānsor),Elevator
صندلی (sandaly),Chair
پنجره‌ی سازمانی (panjere-ye sāzmānī),Organizational window
به سختی (be sakhtī),With difficulty
ضعیف (za'īf),Weak
کبد (kabed),Liver
بادبان (bādbān),Flag
صندلی (sandaly),Chair
آینه (āyene) - āyene,Mirror
احتمالا (ehtemālā),Probably
کوتاه (kūtāh),Short
آب‌نبات (āb-nabāt),Watermelon
چای (chāy),Tea
زیبا (zībā),Beautiful
شاد (shād),Happy
خوراک (khōrāk),Food
دود (dūd),Smoke
اینجا (īnjā),Here
پاییز (pāyiz),Autumn
زیر (zīr),Under
بارانی (bārānī),Rainy
شغف (sheghaf) - sheghaf,Passion
لیمو (līmū),Lemon
معدن (ma'dan),Mine
جلومیز (jolūmīz),Tablecloth
سیر (sīr),Garlic
رستوران (restorān),Restaurant
نجمه (nejmeh),Star
تحقیق (tahqīq),Research
سقوف (soqūf),Roof
عروسی ('arousī),Wedding
ساعت دیواری (sā'at-e dīvārī),Wall clock
دویده (davīde),Ran
البته (albateh),Of course
خالی (khālī),Empty
حساب (hesāb),Account
قمر (qamar),Moon
آنجا (ānjā),There
اخبار (akhbār),News
دانش‌آموز (dāneshāmūz),Student
پوست (pūst),Skin
تمشک (tūmashk),Mulberry
مهمان (mehmān),Guest
کوه (kūh) - kūh,Mountain
آب‌نبات (āb-nabāt),Watermelon
داخل (dākhel),Inside
آینه (āyene),Mirror
قهوه‌ای (qahve'ī),Brown
دریاچه (daryāche),Lake
به‌طور ناگهانی (be-tor-e nāgehānī),Suddenly
هتل (hotel),Hotel
پر (por),Full
خالی (khālī),Empty
جزیره (jazire),Island
همیشه (hamīshe),Always
زرد (zard),Yellow
استادیوم (ostādīom),Stadium
سقوف (soqūf),Roof
ساعت دیواری (sā'at-e dīvārī),Wall clock
نوشیدن (noshīdan),To drink
جنگل (jangal),Forest
نرم (narm),Soft
بخندیدن (bkhandidan),To smile
غمگین (ghamgīn),Sad
خدمت (khedmat),Service
مغز (maghz),Brain
لطفا (lotfan),Please
جنگل (jangal),Forest
رقص (raqs),Dance
پنیر (panīr),Cheese
خوابگاه (khābgaah) - khābgaah,Dormitory
خانواده (khānavāde) - khānavāde,Family
لبه (labeh),Edge
چراغ (charāgh),Lamp
درخت (derakht),Tree
خشن (khoshn),Rough
سیاه (sīāh),Black
حداکثر (haddākhtar),Maximum
باران (bārān),Rain
در (dar),At
عادی (‘ādī),Regular
درخت (derakht),Tree
دقیق (daqīq),Precise
قاشق (qāsheq),Spoon
طلایی (talā'ī),Gold
کمربند (kamarband),Belt
نظافت (nezāfat),Cleanliness
سرد (sard),Cold
پرتقال (porteghāl),Orange
دانش‌آموز (dāneshāmūz),Student
گردشگری (gardeshgari) - gardeshgari,Tourism
دیروقت (dirūqat),Early
سیاه (sīāh),Black
خوشحال (khoshhāl),Content
دیر (dir),Late
آرام (ārām),Calm
قاره (qārāh),Continent
صبحانه (sobhāneh),Breakfast
با آرامش (bā ārāmesh),Calmly
کلاه گردن‌گرم (kolāh gerdan-garm),Scarf
گوشی (gūshī),Earphone
مترو (metro),Metro
صندلی (sandaly),Chair
توانایی (tavānā'ī),Ability
صنعت (san'at),Industry
چرب (charb),Greasy
تلویزیون هوشمند (televīzyon-e hūshmand),Smart TV
سنگ (sang),Stone
به سرعت (be sor'at),Quickly
الان (ālān),Right now
هدیه (hedie),Gift
شعر (she'r),Poetry
نه (na),No
حقیقت (haqiqat) - haqiqat,Truth
پنجه (panje),Fin
دریا (daryā),Sea
خوشحال (khoshhāl),Happy
تئاتر (te'āter),Theater
عجیب (ajīb),Strange
مستقل (mostaghel),Independent
تابلو (tāblō),Painting
به‌طور خوب (be-tor-e khūb),Well
خانه رستورانی (khāneh restorānī),Restaurant house
آفتاب‌گیر (āftāb-gīr),Sunshade
تالار (tālār),Hall
رستوران (restorān),Restaurant
لباس (lebās),Clothes
دانشگاه (dāneshgāh),University
ماشین (māshīn),Car
روز (rūz),Day
انبه (anbāh),Mango
آموزشگاه (āmūzeshgāh),School
خیار (khīār),Cucumber
حمام (hamām),Bathroom
شب (shab),Night
گورخر (gorḵor),Donkey
فروشگاه (forūshgāh),Store
چنگال (changāl),Fork
نویسیدن (nevisīdan),To write
پل (pol),Bridge
شکلات (shokolāt),Chocolate
بیمارستان (bīmārestān),Hospital
ابتدایی (ebtedā'ī),Elementary
بد (bad),Bad
پارک (pārk) - pārk,Park
ناممکن (nāmomken),Impossible
شاید (shayad),Maybe
به ندرت (be nadrat),Rarely
زنجبیل (zanjebīl),Ginger
سقف (saqf),Ceiling
آب (āb),Water
پر (por),Full
برنزی (bronzī),Bronze
هنوز (hanoz),Still
خشک (khoshk),Dry
فراموش (faramūsh),Forget
پنجره (panjere),Window
گل (gol),Flower
قلب (ghalb) - ghalb,Heart
صابون دست (sābūn-e dast),Hand soap
پلنگ (palang),Tiger
اتوبوس (otobus),Bus
قطار (qatār),Train
پشت (posht),Behind
کافه (kāfe),Café
کت (kat),Coat
سبزی (sabzi),Vegetable
کف (kaf),Floor
کتابخانه (ketābkhāneh),Library
پیاده‌روی (piyāde-ravī),Walk
شبکه (shabake),Network
دقیقا (daqīqā),Exactly
روی (rūy),On
ماه (māh) - māh,Moon
مو (mū),Hair
آینه (āyene),Mirror
صورتی (sūretī),Pink
آرزو (ārzū),Wish
شاید (shāyad),Maybe
به شدت (be šaddat),Severely
باران (bārān),Rain
خودکار (khodkār),Ballpoint pen
مصرف‌کننده (masraf konande),Consumer
شاید (shāyad),Perhaps
شکلات (shokolāt),Chocolate
کاخ (kākh),Palace
عضله (azle),Muscle
راه (rāh),Way
نوشیدنی (noshīdani),Beverage
بعد (ba'd),After
کاغذ (kāghaz),Paper
نزدیک (nazdīk),Near
سینما (sīnemā) - sīnemā,Cinema
خطر (khatr),Danger
مدرسه (madrese),School
گوجه (goje),Tomato
کجا (kojā),Where
بخوبی (bekhūbī),Well
سیب (sīb),Apple
شلوغ (sholoogh),Busy
قطعا (qat'an),Certainly
تا (tā),Until
صبحانه (sobhāneh),Breakfast
بد (bad),Bad
آرام (ārām),Calm
رانندگی (rānandegī),Driving
بد (bad),Bad
کوچک (kūchak),Small
کشاورزی (keshāvarzī),Agriculture
سفید (sefid),White
خوب (khūb),Good
سبز (sabz),Green
زیبا (zībā),Beautiful
خالی (khālī),Empty
موش (mūsh),Mouse
سالاد (sālād),Salad
کوچک (kūchak),Small
به راحتی (be rāhatī),Easily
آموزش (āmūzesh),Education
بسیار (besyār),Very
به‌طور مشخص (be-tor-e moshtagh),Clearly
پیش (pīsh),Before
پنکه (pankhe),Fan
تاریخ (tārikh) - tārikh,History
سفت (saft),Firm
خبر (khabar),News
خط (khat),Line
نوشیدنی (noshīdani),Beverage
زمستان (zemestān),Winter
بیمار (bīmār),Patient
شجاعت (shojā'at),Courage
سازمان (sāzmān),Organization
بلند (boland),Tall
چاقو (chāghū),Knife
شام (shām),Dinner
علم ('elm),Science
شیر (shīr),Milk
پرنده (parandeh),Bird
سایه (sāye),Shadow
گرم (garm) - garm,Warm
دستکش (dastgosh),Glove
استاد (ostād),Teacher
خوب (khūb),Good
پر (por),Full
شن (shen),Sand
نجفه (nojeh),Star
زبان (zabān),Tongue
هواپیمای جت (havāpeymā-ye jet),Jet airplane
حلقه (halqeh),Ring
تنهایی (tanhaa'ī),Loneliness
قدیمی (qadīmī),Old
برخوردار (barxodār),Available
تمام (tamām),Complete
هلو (holū),Peach
پنجره (panjere),Window
برف (barf),Snow
جادو (jādū),Magic
کتاب (ketāb),Book
تر (tar),Wet
جدید (jadīd),New
درب (darb),Door
گرم (garm),Warm
قهوه (ghahveh),Coffee
کلیسا (kelīsā),Church
غیرمستقیما (ghayremostaqīmā),Indirectly
زیباترین (zībatarin),The most beautiful
پلکان (pelkān),Escalator
نوشیدنی (noshīdani),Beverage
کویر (kavīr),Desert
دفتر (daftar),Office
آهسته (āhesteh),Slow
حیثیت (hesīyat),Dignity
دریا (daryā) - daryā,Sea
بشقاب (basqāb),Plate
خوراکی (khōrākī),Snack
رمان (romān),Novel
دندان (dandān),Tooth
آتش (ātesh),Fire
هرگز (hargez),Never
زیاد (ziyād),Much
زرد (zard),Yellow
بدون (bedūn),Without
سگ (sag),Dog
نوشیدنی (noshīdani),Beverage
بین (bīn),Between
بزرگ (bozorg),Big
جزئی (jazā'ī),Partial
پله (pelle),Stairs
آفتاب (āftāb),Sun
پنکه سقفی (pankhe-ye saqfī),Ceiling fan
شگفت‌انگیز (shogofte-angīz),Amazing
ماهی (māhī),Fish
رفته رفته (rafta rafta),Gradually
گربه (gorbe),Cat
آموختن (āmūkhtan),To learn
پیر (pīr),Old
هویج (havīj),Carrot
کت (kat),Coat
کف (kaf),Floor
خمیر دندان (khamīr-e dandān),Toothpaste
سبز (sabz),Green
کتاب (ketāb) - ketāb,Book
خانه (khāneh) - khāneh,Home
خالی (khālī),Empty
ماه (māh),Moon
مجله (majale),Magazine
بی‌تفاوت (bī-tafāvot),Indifferent
خوش (khosh),Well
سینه (sīne),Chest
ساعت (sā'at),Watch
چشم (cheshm),Eye
آسمان (āsemān),Sky
پرسشی (pershī),Curious
با آرامی (bā ārāmī),With ease
بهترین (behtarin),Best
همواره (hamvāre),Constantly
پرتقال (porteghāl),Orange
نه (na),No
بد (bad),Bad
عقب (aqb),Backward
آسان (āsān),Easy
خنجر (khanjar),Dagger
تو (to),In
آرامتر (ārāmtar),More calmly
ابر (abr),Cloud
به‌صورت (be sūrat),Formally
متاسفانه (motāsefāneh),Unfortunately
تفریح (tafrih),Recreation
پاره (pāre),Broken
دیرتر (dirter),Later
پرورش (parvaresh),Raising
پیچیدن (pīchīdan),To twist
آن (ān),That
طبقه (tabaq),Plate
آهسته (āhesteh),Slow
فنجان (fenjān),Cup
تاکسی (tāksī),Taxi
دست (dast),Hand
ماشین (māshīn),Car
شهر (shahr),City
بیرون (bīrūn),Outside
پیراهن (pīrāhan),Shirt
برخوردار (barxodār),Available
شنا (shenā) - shenā,Swimming
تلفن همراه (telefon-e hamrāh),Mobile phone
خنک (khonak),Cool
آسمان‌خراش (āsemān-kharāsh),Skydiving
شانه (shāneh),Shoulder
زیبا (zībā),Beautiful
خوراک (khōrāk),Food
آفتاب (āftāb) - āftāb,Sun
رفتن (raftan),To go
پاچه (pāche),Ankle
آبی (ābī),Blue
به آرامی (be ārāmī),Slowly
مهندس (mohandes),Engineer
به‌طور کامل (be-tor-e kāmel),Completely
کلاس (kelās),Class
پوشاک (pūshāk),Clothing
خرما (khormā),Date
تخت (takht),Bed
سیب (sib),Apple
گوشواره (gūshvāre),Earring
زبان (zabān) - zabān,Language
دیگر (dīgar),Other
با احتیاط (bā ehtiyāt),With caution
به‌طور کلی (be-tor-e kollī),Generally
خوردن (khordan),To eat
آب (āb),Water
خرید (kharīd),Purchase
باران (bārān),Rain
صورتی (sūratī),Pink
پاییز (pāyiz),Autumn
معده (ma'deh),Stomach
دوش (dūsh),Shower
هواپیما (havāpeymā) - havāpeymā,Airplane
مسی (mesī),Copper
هرگز (hargez),Never
شب (shab) - shab,Night
دوچرخه‌سواری (dūcharkheh-savārī),Bicycling
تقریبا (taqrīban),Almost
فرش (farsh),Carpet
هر (har),Each
به‌زودی (be-zūdī),Soon
بیرون (bīrūn),Outside
دلار (dollar),Dollar
ابر (abr),Cloud
پر (por),Full
ماهیگیری (māhīgīrī),Fishing
شام (shām),Dinner
چراغ (charāgh),Lamp
دم (dam),Breath
اژدها (aždhā),Dragon
قهوه (ghahveh) - ghahveh,Coffee
خالی (khālī),Empty
کشاورزی (keshāvarzī),Agriculture
مسواک (meswāk),Toothbrush
مات (māt),Checkmate
قاب عکس (qāb-e aks),Picture frame
شگفت‌انگیز (shogofte-angīz),Amazing
دستبند (dastband),Bracelet
غذا (ghazā),Meal
خوشحال (khoshhāl),Happy
چند (chand),How many
صنعت (san'at),Industry
چراغ (charāgh),Lamp
دانشگاه (dāneshgāh),University
کلید (kelīd),Key
فرش (farsh),Carpet
موزه (moze),Museum
ترسیدن (tarasīdan),To fear
سریع (serī',Fast
تبلیغات (tablighāt),Advertising
آرامش (ārāmes̱h) - ārāmes̱h,Peace
همان (hamān),That
درمان (darmān),Treatment
کتابخانه (ketābkhāneh),Library
خیابان خرید (khīābān-e kharīd),Shopping street
راست (rāst),Right
فناوری (fenāvverī),Technology
دیرتر (dirter),Later
فروشگاه (forūshgāh),Shop
پرنده (parande),Bird
فوتبال (fūtbāl),Football
نو (nav),New
کوچه (kūcheh),Alley
بی‌اعتنا (bī-etnā),Careless
عالی (ālī),Excellent
البته (albateh),Of course
کافه (kāfe),Café
پرواز (parvāz),Flight
گلاب (gelāb),Rose
خوب‌ترین (khūbtarin),The best
داخل (dākhel),Inside
خالی (khālī),Empty
توسعه (tose'e),Development
شیر (shīr),Milk
معمولی (ma'mūlī),Ordinary
با (bā),With
آلو (ālū),Plum
گوش (gūsh),Ear
پاشنه (pāshne),Heel
کاسه (kāse),Bowl
حسن (hasan),Beauty
کم (kam),Few
کم‌تر (kamtar),Less
کوه (kūh),Mountain
مخصوص (mokhassas),Special
میدان (meidān),Square
خیابان محل کار (khīābān-e mehle kār),Workplace street
چه (che),What
آنجا (ānjā),There
خوبتر (khūbtar),Better
آسان‌تر (āsāntar),Easier
کشور (keshvar),Country
کافه (kāfe),Café
گل (gol),Flower
بیرون (bīrūn),Outside
پنجه پا (panje pā),Toe
سریع (serī',Fast
قهوه (ghahveh),Coffee
خوابیدن (khābīdan),To sleep
بله (bale),Yes
مستقیما (mostaqīmā),Directly
کشاورزی (keshāvarzī),Agriculture
موز (mūz),Banana
خوب (khūb),Well
قهوه (ghahveh),Coffee
چایخوری (chāykhūrī),Teacup
ممنون (mamnūn),Thank you
زیر (zīr),Under
تابستان (tābestān),Summer
هندوانه (hendevāneh),Watermelon
زنگ (zang),Bell
قرمز (qermez),Red
سریع (sor'ī),Fast
همزمان (hamzamān),Simultaneously
به زودی (be zūdī),Soon
آمدن (āmadan),To come
اظهار کردن (ezhār kardan),To express
زنده (zendeh),Alive
صورت (sūrat),Face
تخت (takht),Bed
پر (por),Full
تئاتر (te'āter),Theater
عشقیدن (eshqīdan),To adore
تازه (tāze),Fresh
به تدریج (be tadrīj),Gradually
آزمایش (āzmāyesh),Experiment
خندیدن (khandidan),To laugh
حیوان (havvān) - havvān,Animal
فرودگاه (forūdgāh),Airport
رایانه (rāyāneh),Computer
حالا (hālā),Now
برف (barf),Snow
همیشه (hamīshe),Always
باتری (bāterī),Battery
تلویزیون (televīzyon),Television
گوش (gūsh),Ear
با (bā),With
ناقص (nāqes),Incomplete
اینجا (īnjā),Here
ورزش (varzesh),Sport
آب‌نبات (ābnabāt),Plant
صابون (sābūn),Soap
آنجا (ānjā),There
مداد (medād),Pencil
اتوبوس (otobūs),Bus
سبک (sabok),Light
حالا (hālā),Now
دستبند (dastband),Bracelet
شجاع (shojā' ),Brave
زود (zūd),Soon
آهسته (āhesteh),Slow
سرگرمی (sargarmī),Entertainment
دیواری (dīvārī),Wally
سرد (sard),Cold
به‌طور غیررسمی (be-tor-e gheyr-rasmi),Informally
بد (bad),Bad
خارج (khārej),Outside
تا (tā),Until
کفش (kafsh),Shoes
پارک (pārk),Park
متشوق (motashawwq),Enthusiastic
کودک (kūdak),Child
بدتر (badtar),Worse
پا (pā),Leg
بسکتبال (basketbāl),Basketball
زیبا (zībā),Beautiful
مترو (metro),Metro
نقاشی (naqāshī),Painting
خیابان (khīābān),Street
خواب (khāb),Dream
داخل (dākhel),Inside
پایین (pāyīn),Low
فصل (fasl),Season
شکر (shakar),Sugar
کارد (kārd),Knife
به شدت (be šaddat),Intensely
زیاد (ziyād),Much
شعر (she'r),Poetry
دیوار (dīvār),Wall
فیلم (film),Movie
رود (rūd),River
کلم (kalam),Cabbage
سریعتر (sor'atar),Faster
کتاب (ketāb),Book
گیم‌سنتر (gīm-sentir),Game center
کارآگاه (kārāgāh),Detective
گرم (garm),Warm
قدیمی (qadīmī),Old
دیوار (dīvār),Wall
به‌طور یکجا (be-tor-e yekjā),Together
شجره (shajare),Tree
زانو (zānu),Knee
تقریبا (taqrīban),Approximately
سقف (saqf),Ceiling
خسته (khaste),Tired
گل (gol) - gol,Flower
باد (bād),Wind
باز (bāz),Again
دروازه‌ای (darvāze'ī),Doory
قفل (ghofl),Lock
حوله (ḥolh),Towel
زودتر (zūdtar),Sooner
انجیر (anjīr),Fig
موفقیت (mofaqqīyat),Success
کاملا (kāmelā),Completely
شنا (shenā),Swimming
کلیدواژه (kalīdvāzhe),Keyword
سکوت (sokūt),Silence
سریعا (serī'a),Quickly
دانشگاه (dāneshgāh),University
پزشکی (pezeshkī),Medical
ترسناک (tarsnāk),Scary
ترس (ters),Fear
آسمانی (āsemānī),Skyish
میز (mīz),Table
حرارت (harārat),Heat
باشگاه (bāshgāh),Club
به‌طور معمول (be-tor-e ma'mūl),Usually
چطور (chetor),How
آزادی (āzādī),Freedom
استخر (estakhr),Swimming pool
بالا (bālā),High
پله (pelle),Stairs
خوشرو (khoshrew),Pleasant
شبنم (shabnam),Dew
پشت (posht),Behind
ناهار (nāhār),Lunch
دست (dast),Hand
قدیمی (qadīmī),Old
تاکسی (tāksī),Taxi
ناخن (nākhun),Nail
به نظر می‌آید (be nazar mi-āyad),It seems
هیچ (hīch),None
به‌صورت رسمی (be-sūrat-e rasmi),Formally
منطقه (mantaghe),Region
آب‌نبات (āb-nabāt),Watermelon
بنفش (banafš),Purple
دستمال کاغذی (dastmāl-e kāghazī),Paper towel
بالا (bālā),Up
گفتن (goftan),To say
به‌طور (be tūr),Informally
با ناراحتی (bā nārāhatī),Unhappily
به‌طور کلی (be-tor-e kollī),Generally
خشک (khoshk),Dry
پریده (parīde),Jumped
دور (dūr),Far
هنوز (hanoz),Still
کارخانه (kārkhāneh),Factory
ساعت (sā'at),Clock
به زودی (be zūdī),Soon
خوب (khūb),Good
کم (kam),Few/Less
کم (kam),Few
خوب (khūb),Good
ناخن (nākhun),Nail
آینه آبگرم (āyene ābgarm),Sauna
لپ‌تاپ (laptop),Laptop
آویز (āvīz),Hanging
به‌طور کلی (be-tor-e kollī),On the whole
نمک (namak),Salt
روشن (rowshan),Bright
کوتاه (kūtāh),Short
ویلا (vīlā),Villa
سبزی (sabzi) - sabzi,Vegetable
دروازه (darvāze),Door
گریه کردن (gerye kardan),To cry
شنیدن (shenīdan),To hear
میمون (mīmūn),Monkey
دقیق (daqīq),Precise
عصبانی (asabānī),Angry
غذا (ghazā),Meal
خرمایی (khoramā'ī),Beige
خنده (khande) - khande,Laughter
خودرو (khodrō) - khodrō,Car
شبنم (shabnam) - shabnam,Dew
پایین (pāyīn),Below
کلی (kolī),Total
ابدا (abadā),Never
قایق (qāyeq),Boat
تضاد (tazād),Contradiction
بالا (bālā),Above
نقاشی (naqāshī),Painting
بی‌رحم (bī-raḥm),Merciless
با شوق (bā šoq),Eagerly
گردن (gordan),Neck
تازه (tāze),Fresh
آهسته (āhesteh),Slowly
سلامتی (salamatī),Health
آنجا (ānjā),There
جوان (javān),Young
زنگوله (zangūle),Bicycle
راه آهن (rāh āhan),Railway
فیلم (film),Film
چای (chāy),Tea
قوی (qavī),Strong
آیا (āyā),Is it
ناراحت (nārāhat),Unhappy
بخاری (bokhārī),Heater
تاریخچه (tārikhche),History
داستان (dāstān),Story
لب (lab),Lip
بدون شک (bedūn shak),Without a doubt
قرمز (qermez),Red
قاب عکس (qāb-e aks),Picture frame
سوپ (sūp),Soup
آن (ān),That
یکجا (yekjā),Together
بیمارستان (bīmārestān),Hospital
به تدریج (be tadrīj),Gradually
جلوی (jelooye),In front of
پرنده (parande),Bird
زیاد (ziyād),Many
آبی (ābī),Blue
دستمال (dastmāl),Towel
روده (rūdeh),Intestine
دستکش (dastkosh),Glove
در مورد (dar mowrde),About
آفتاب (āftāb),Sun
به‌طور فوری (be-tor-e forī),Instantly
قدرتی (qodratī),Powerful
روستا (rūstā),Village
دقیق (daqīq),Exactly
زمینی (zemīnī),Groundy
تغییر (taghyīr),Change
به‌طور همزمان (be-tor-e hamzamān),Simultaneously
چای (chāy) - chāy,Tea
گلابی (gelābī),Pear
روی (rūy),On
کنار (kenār),Beside
موزیک (mūzīk),Music
خوشحالی (khoshhālī),Happiness
پنجره (panjere),Window
تقریبا (taqrīban),Almost
تقریبا (taqrīban),Almost
تیره (tīre),Dark
پرانرژی (por enérzhī),Energetic
سخت (sakht),Difficult
جدا (jodā),Apart
آسانسور (āsānsor),Elevator
کم (kam),Few
ماشین حساب (māshīn-e hasāb),Calculator
اینجا (īnjā),Here
پا (pā),Leg
ابتدای پا (ebtedā-ye pā),Toe
گلچین (golchīn),Bouquet
خیابان فرعی (khīābān-e far'ī),Side street
به‌طور نادرست (be-tor-e nādorost),Incorrectly
رادیو (rādīo),Radio
جشن (jashn),Celebration
زمین (zamīn),Land
خشن (khoshn),Rough
بازو (bāzū),Arm
خنثی (khānithī),Neutral
کفش (kafsh),Shoes
به‌طور واضح (be-tor-e vāzeh),Clearly
آرام (ārām),Calm
لاغر (lāghar),Slim
بدون (bedūn),Without
کیف دوشی (kīf-e dūshī),Backpack
خداحافظ (khodāhāfez) - khodāhāfez,Goodbye
شکلات (shokolāt),Chocolate
جدید (jadīd),New
دروازه (darvāze),Door
دست‌کم (dast-kam),At least
خوراکی (khōrākī),Snack
قلب (ghalb),Heart
قلم (qalam),Pen
به‌طور گسترده (be-tor-e gostarde),Extensively
زودتر (zūdtar),Sooner
قابلمه (qābelame),Pot
پنجه (panje),Finger
میوه تازه (miveh tāze),Fresh fruit
ماهیتابه (māhītābe),Pan
آبنبات (ābnabāt),Cotton swab
گل (gol),Flower
جمع‌آوری (jam'āvari),Collection
کمی (kamī),A little
کیف (kīf),Bag
آهسته آهسته (āhesteh āhesteh),"Slowly, slowly"
به‌طور آرام (be-tor-e ārām),Slowly
خنده (khandeh),Laughter
کتابخانه (ketābkhāneh),Library
آب‌شار (ābshār),Waterfall
نان (nān),Bread
رقصیدن (raqsīdan),To dance
بهترین (behtarin),Best
کیف (kīf),Bag
فلفل دلمه‌ای (felfel-e dolmeh'ī),Bell pepper
پرستار (parastār),Nurse
باد (bād),Wind
تر (tar),Wet
جدید (jadīd),New
چرا (chera),Why
آینه (āyene),Mirror
محدود (mahdūd),Limited
تخت (takht),Throne
پنجه دست (panje-ye dast),Finger
گاهی (gāhī),Sometimes
پنجه (panje),Finger
همه (hame),All
سفالگری (safālgarī),Pottery
سالن (sālon),Hall
پارو (pāro),Sail
با خوشحالی (bā khoshhālī),Happily
نقاشی (naqāshī),Painting
پرواز (parvāz),Flight
برای (barāy),For
قلب (ghalb),Heart
به‌طور معمول (be-tor-e ma'mūl),Normally
آزمایشی (āzmāyeshī),Experimental
به وضوح (be vazūh),Clearly
خنک (khonak) - khonak,Cool
مسجد (masjed),Mosque
نارنجی (nārenjī),Orange
خانه‌ی کودک (khāneh-ye kūdak),Kindergarten
قاشق (qāsheq),Spoon
والیبال (vālībāl),Volleyball
کمد (kamod),Closet
شکلات (shokolāt),Chocolate
ستاره (setāre) - setāre,Star
دارو (dāro),Medicine
گردنبند (gordanband),Necklace
